fips,County,State,County-State,Latitude,Longitude,Region,Dem08,Dem12,Dem16,Rep08,Rep12,Rep16,Total08,Total12,Total16,percentDem08,percentDem12,percentDem16,RorD08,RorD12,RorD16,mfgEmp12,mfgEmp16,DrugFR08,DrugFR12,DrugFR16,Obese08,Obese12,Obese16,Pov08,Pov12,Pov16,medInc08,medInc12,medInc16,incomePercent08,incomePercent12,incomePercent16,pop08,pop12,pop16,popCHG08,popCHG12,popCHG16,intMig08,intMig12,intMig16,domMig08,domMig12,domMig16,netMig08,netMig12,netMig16,civLab08,emp08,unemp08,unempR08,civLab12,emp12,unemp12,unempR12,civLab16,emp16,unemp16,unempR16,college,pctBlack,pctAsian,pctHispanic,pctWhite,pctForeign,empQuoMfg12,empQuoMfg16,empQuoTtl2012,empQuoTtl2016,EmpTtl2012,EmpTtl2016,WageMfg2012,WageMfg2016,WageTtl2012,WageTtl2016,C Pop Density,C Land Area,Ydiscuss,YdiscussOppose,YCO2limits,YCO2limitsOppose,YtrustclimsciSST,YtrustclimsciSSTOppose,Yregulate,YregulateOppose,YsupportRPS,YsupportRPSOppose,Yfundrenewables,YfundrenewablesOppose,Yhappening,YhappeningOppose,Yhuman,YhumanOppose,Yconsensus,YconsensusOppose,Yworried,YworriedOppose,Ypersonal,YpersonalOppose,YharmUS,YharmUSOppose,Ydevharm,YdevharmOppose,Yfuturegen,YfuturegenOppose,Yharmplants,YharmplantsOppose,Ytiming,YtimingOppose
1001,Autauga County,AL,"Autauga County, AL",32.523283,-86.57717,Atlantic-S,6363.000,6763.000,5936.000,17379.000,17540.000,18172.000,23973.000,24467.000,24759.000,0.265,0.276,0.240,0,0,0,1067.33,1463.67,7.00,9.00,11.00,0.32,0.31,0.34,0.11,0.15,0.13,51622.00,48863.00,54366.00,0.99,0.97,1.01,54742.00,55027.00,55416.00,171.00,-228.00,381.00,33.00,2.00,7.00,134.00,-294.00,228.00,167.00,-292.00,235.00,24687.00,23420.00,1267.00,0.05,25740.00,23961.00,1779.00,0.07,25649.00,24297.00,1352.00,0.05,0.53,0.18,0.01,0.03,0.77,0.02,1.16,1.57,0.90,0.89,7689.33,8150.67,16343330.00,21810928.00,61894509.00,71180639.00,91.90,594.00,0.25,0.41,0.59,0.40,0.65,0.33,0.69,0.31,0.59,0.40,0.77,0.23,0.59,0.19,0.43,0.40,0.37,0.36,0.45,0.55,0.32,0.54,0.48,0.40,0.52,0.33,0.59,0.27,0.58,0.28,0.42,0.58
1003,Baldwin County,AL,"Baldwin County, AL",30.592781,-87.74826,Atlantic-S,18424.000,19386.000,18458.000,66016.000,61271.000,72883.000,85491.000,81413.000,94261.000,0.216,0.238,0.196,0,0,0,3786.00,4037.67,13.00,17.00,19.00,0.26,0.27,0.27,0.10,0.13,0.13,51957.00,50144.00,49626.00,1.00,0.99,0.92,183199.00,190403.00,208563.00,934.00,3750.00,4873.00,66.00,176.00,243.00,867.00,3333.00,4046.00,933.00,3509.00,4289.00,83223.00,79372.00,3851.00,0.05,84414.00,78065.00,6349.00,0.08,89931.00,85061.00,4870.00,0.05,0.60,0.09,0.01,0.04,0.80,0.03,0.66,0.64,1.03,1.03,53624.67,62632.33,42177363.00,44708015.00,398453066.00,505598891.00,114.60,1590.00,0.28,0.36,0.58,0.41,0.64,0.34,0.67,0.32,0.58,0.41,0.77,0.22,0.60,0.21,0.42,0.40,0.37,0.38,0.45,0.54,0.32,0.58,0.49,0.42,0.53,0.35,0.61,0.28,0.60,0.29,0.41,0.58
1005,Barbour County,AL,"Barbour County, AL",31.856515,-85.33131,Atlantic-S,5912.000,5697.000,4871.000,5550.000,5866.000,5454.000,11517.000,11630.000,10436.000,0.513,0.490,0.467,1,0,0,2634.67,2132.67,3.00,5.00,7.00,0.38,0.41,0.44,0.25,0.30,0.25,30896.00,30117.00,34971.00,0.59,0.60,0.65,27348.00,27132.00,25965.00,-109.00,-194.00,-305.00,2.00,-10.00,-5.00,-54.00,-192.00,-248.00,-52.00,-202.00,-253.00,10161.00,9267.00,894.00,0.09,9362.00,8283.00,1079.00,0.12,8302.00,7584.00,718.00,0.09,0.41,0.48,0.01,0.05,0.51,0.03,3.34,3.12,0.94,0.94,6855.67,6307.33,22554391.00,21066859.00,53044666.00,54120967.00,31.00,885.00,0.27,0.41,0.69,0.29,0.68,0.28,0.73,0.25,0.63,0.35,0.79,0.19,0.68,0.10,0.49,0.36,0.43,0.25,0.55,0.45,0.40,0.43,0.56,0.28,0.60,0.22,0.66,0.18,0.66,0.18,0.53,0.46
1007,Bibb County,AL,"Bibb County, AL",33.040054,-87.12324,Atlantic-S,2202.000,2299.000,1874.000,6132.000,6262.000,6738.000,8420.000,8644.000,8753.000,0.262,0.266,0.214,0,0,0,372.33,359.33,9.00,13.00,15.00,0.32,0.40,0.40,0.19,0.22,0.18,41076.00,37347.00,39546.00,0.79,0.74,0.74,22861.00,22645.00,22643.00,-58.00,-91.00,82.00,2.00,13.00,18.00,-69.00,-111.00,34.00,-67.00,-98.00,52.00,8749.00,8241.00,508.00,0.06,8798.00,8047.00,751.00,0.09,8573.00,8004.00,569.00,0.07,0.38,0.22,0.00,0.02,0.78,0.01,0.98,0.99,0.81,0.82,2841.67,2899.33,3363577.00,4107562.00,23849173.00,29616361.00,36.80,623.00,0.25,0.41,0.59,0.40,0.61,0.36,0.67,0.32,0.56,0.43,0.76,0.23,0.58,0.18,0.42,0.41,0.35,0.34,0.45,0.55,0.33,0.52,0.49,0.38,0.52,0.32,0.59,0.26,0.58,0.27,0.44,0.56
1009,Blount County,AL,"Blount County, AL",33.978461,-86.55476,Atlantic-S,2970.000,3522.000,2156.000,20757.000,20389.000,22859.000,24060.000,24267.000,25442.000,0.123,0.145,0.085,0,0,0,1368.33,1242.33,11.00,13.00,15.00,0.32,0.32,0.35,0.13,0.15,0.18,46086.00,41940.00,45567.00,0.89,0.83,0.85,57376.00,57772.00,57704.00,52.00,65.00,28.00,5.00,18.00,38.00,-3.00,-67.00,-65.00,2.00,-49.00,-27.00,26698.00,25453.00,1245.00,0.05,24960.00,23244.00,1716.00,0.07,24525.00,23171.00,1354.00,0.06,0.44,0.02,0.00,0.09,0.95,0.04,1.80,1.73,0.89,0.90,6202.33,6258.00,10914230.00,11456010.00,44575614.00,50107365.00,88.90,645.00,0.25,0.40,0.58,0.42,0.62,0.37,0.67,0.32,0.57,0.42,0.77,0.23,0.56,0.24,0.43,0.39,0.36,0.38,0.42,0.58,0.30,0.58,0.46,0.44,0.50,0.37,0.58,0.31,0.57,0.31,0.39,0.61
1011,Bullock County,AL,"Bullock County, AL",32.098285,-85.70491,Atlantic-S,4061.000,4011.000,3530.000,1251.000,1391.000,1140.000,5322.000,5415.000,4702.000,0.763,0.741,0.751,1,1,1,0.00,846.67,3.00,7.00,9.00,0.38,0.45,0.43,0.34,0.33,0.35,26980.00,26038.00,26580.00,0.52,0.52,0.50,10892.00,10654.00,10362.00,-19.00,-68.00,-93.00,7.00,16.00,9.00,-13.00,-90.00,-101.00,-6.00,-74.00,-92.00,3634.00,3251.00,383.00,0.11,4736.00,4245.00,491.00,0.10,4811.00,4466.00,345.00,0.07,0.33,0.70,0.00,0.08,0.28,0.05,0.00,3.27,0.88,0.91,2136.33,2320.67,0.00,6676826.00,16005239.00,17949516.00,17.50,623.00,0.29,0.42,0.76,0.22,0.72,0.22,0.76,0.22,0.68,0.30,0.81,0.17,0.74,0.05,0.54,0.33,0.50,0.18,0.63,0.37,0.47,0.34,0.63,0.20,0.66,0.15,0.70,0.12,0.71,0.13,0.60,0.38
1013,Butler County,AL,"Butler County, AL",31.735884,-86.66223,Atlantic-S,4374.000,4188.000,3726.000,5087.000,5485.000,4901.000,9502.000,9709.000,8705.000,0.460,0.431,0.428,0,0,0,1116.33,1322.00,5.00,7.00,9.00,0.37,0.36,0.36,0.22,0.24,0.25,31449.00,30489.00,32512.00,0.60,0.60,0.61,20938.00,20665.00,19998.00,-8.00,-183.00,-128.00,0.00,5.00,8.00,-11.00,-160.00,-127.00,-11.00,-155.00,-119.00,9051.00,8278.00,773.00,0.09,9088.00,8039.00,1049.00,0.12,9132.00,8481.00,651.00,0.07,0.39,0.44,0.01,0.01,0.56,0.01,1.93,2.25,1.02,1.01,5462.33,5913.67,10695121.00,14344295.00,39662651.00,48114719.00,27.00,777.00,0.25,0.43,0.66,0.32,0.67,0.29,0.71,0.27,0.62,0.37,0.78,0.21,0.65,0.12,0.47,0.38,0.39,0.28,0.52,0.48,0.38,0.45,0.54,0.30,0.57,0.24,0.63,0.19,0.63,0.20,0.50,0.49
1015,Calhoun County,AL,"Calhoun County, AL",33.741989,-85.81754,Atlantic-S,15511.000,16334.000,13242.000,30278.000,32348.000,32865.000,46364.000,49242.000,47485.000,0.335,0.332,0.279,0,0,0,5818.33,5992.33,9.00,11.00,11.00,0.34,0.32,0.32,0.18,0.21,0.21,39997.00,39060.00,41123.00,0.77,0.77,0.77,118468.00,117208.00,114611.00,-118.00,-528.00,-674.00,6.00,63.00,27.00,-124.00,-591.00,-462.00,-118.00,-528.00,-435.00,54564.00,51468.00,3096.00,0.06,49649.00,45252.00,4397.00,0.09,45794.00,42727.00,3067.00,0.07,0.48,0.21,0.01,0.04,0.78,0.02,1.42,1.58,0.86,0.86,33190.00,32229.67,66886168.00,74518032.00,276747953.00,274349109.00,195.70,606.00,0.27,0.39,0.63,0.35,0.66,0.32,0.71,0.28,0.61,0.38,0.78,0.21,0.62,0.17,0.46,0.37,0.39,0.33,0.49,0.51,0.34,0.52,0.51,0.37,0.55,0.30,0.61,0.24,0.61,0.25,0.45,0.54
1017,Chambers County,AL,"Chambers County, AL",32.891233,-85.28874,Atlantic-S,6871.000,6799.000,5784.000,7626.000,8067.000,7843.000,14629.000,14956.000,13839.000,0.470,0.455,0.418,0,0,0,1307.00,1929.67,9.00,11.00,13.00,0.36,0.40,0.40,0.19,0.24,0.21,35614.00,33500.00,34116.00,0.68,0.66,0.64,34101.00,34084.00,33843.00,-69.00,78.00,-200.00,7.00,19.00,18.00,-71.00,138.00,-155.00,-64.00,157.00,-137.00,15012.00,12848.00,2164.00,0.14,15140.00,13646.00,1494.00,0.10,15134.00,14295.00,839.00,0.06,0.40,0.39,0.01,0.02,0.59,0.01,1.80,2.83,0.99,0.91,6606.00,6118.00,13447363.00,22268139.00,51017625.00,53450534.00,57.30,597.00,0.26,0.42,0.68,0.31,0.68,0.28,0.73,0.26,0.63,0.35,0.79,0.20,0.66,0.12,0.47,0.38,0.42,0.27,0.52,0.48,0.38,0.45,0.54,0.31,0.58,0.25,0.63,0.20,0.64,0.20,0.50,0.49
1019,Cherokee County,AL,"Cherokee County, AL",34.184158,-85.62193,Atlantic-S,2132.000,2306.000,1547.000,7506.000,7298.000,8953.000,9792.000,9745.000,10673.000,0.218,0.237,0.145,0,0,0,968.00,975.33,9.00,13.00,15.00,0.32,0.33,0.34,0.18,0.24,0.19,38028.00,34738.00,38013.00,0.73,0.69,0.71,25977.00,26017.00,25725.00,-9.00,-56.00,-1.00,3.00,8.00,5.00,46.00,28.00,136.00,49.00,36.00,141.00,11996.00,11308.00,688.00,0.06,11268.00,10363.00,905.00,0.08,11163.00,10581.00,582.00,0.05,0.44,0.05,0.00,0.01,0.93,0.01,2.14,2.19,0.88,0.88,3699.00,3882.33,7870304.00,9702604.00,25245972.00,30767192.00,46.90,554.00,0.25,0.39,0.56,0.42,0.60,0.38,0.66,0.33,0.55,0.44,0.75,0.24,0.56,0.22,0.41,0.41,0.33,0.38,0.43,0.57,0.31,0.57,0.47,0.43,0.50,0.36,0.57,0.30,0.57,0.31,0.41,0.58
